time,open,high,low,close,Duong_V3_22R8_Chart
1779181200,478,479.75,477.75,478.75,
1779184800,479,479.25,477.5,478.75,
1779188400,478.75,480.25,478.25,478.75,
1779192000,479,479,476,476.25,
1779195600,476,478,475,477,
1779199200,477,478.75,474.5,475.75,
1779202800,475.75,476.75,474.75,475.25,
1779206400,475,476.25,474,475.75,
1779210000,475.75,476.25,472,472.75,
1779213600,472.5,475.5,472.5,475.25,
1779235200,475.75,477,473.75,474.25,
1779238800,474.25,474.5,472.25,472.5,
1779242400,472.5,473.5,472.25,472.75,
1779246000,472.75,473.25,472.25,472.5,
1779249600,472.25,474,472,473.75,
1779253200,473.75,475,473.5,474.5,
1779256800,474.5,474.75,473,473,
1779260400,473,473.25,471.25,472.75,
1779264000,472.75,473,471,471.5,
1779267600,471.75,473.5,471,473.5,
1779271200,473.75,474.25,471.5,472.25,
1779274800,472.25,473,471.25,471.5,
1779278400,471.25,471.5,469.5,469.75,
1779282000,469.75,471.25,469,469.75,
1779285600,469.5,470,464.5,465,
1779289200,465,466.25,462.75,463.75,
1779292800,463.75,465.75,462.75,464.75,
1779296400,465,465,463.5,463.75,
1779300000,463.75,466.5,463.75,465.75,
1779321600,465,466.5,463.25,464,
1779325200,463.75,464.75,463.75,464,
1779328800,464,464.5,463.25,463.75,
1779332400,463.75,463.75,463,463.25,
1779336000,463.25,463.5,462.75,462.75,
1779339600,462.75,463,462.25,462.5,
1779343200,462.5,463.25,461.5,462.75,
1779346800,462.75,463.75,462.25,463.25,
1779350400,463,463.5,461.75,462.25,
1779354000,462,462,460.25,460.75,
1779357600,460.5,465,460,464.75,
1779361200,464.75,465,463.5,464,
1779364800,463.75,465.75,463.5,465,
1779368400,465.25,467.25,463.5,465.5,
1779372000,465.5,467.75,464.75,467.25,
1779375600,467.5,469.25,466.75,467.5,
1779379200,467.25,467.5,465.25,466.5,
1779382800,466.25,466.75,461,461.25,
1779386400,461,462.75,461,462.75,
1779408000,462.5,464.75,461,461.25,
1779411600,461.5,462,461,461,
1779415200,461.25,461.5,461,461,
1779418800,461.25,461.5,461,461.25,
1779422400,461.5,461.75,461,461.5,
1779426000,461.75,462.25,461.25,462.25,
1779429600,462.25,462.75,461.25,462.25,
1779433200,462.25,464.5,462,464,
1779436800,464,465.25,464,464.75,
1779440400,465,465.5,464.5,465.25,
1779444000,465,465.25,463.75,464.5,
1779447600,464.5,465,463.75,464.25,
1779451200,464.25,464.75,461.75,463,
1779454800,463.25,467,462,466,
1779458400,466,467.75,464.25,466,
1779462000,466,467,464,465,
1779465600,465,465.25,462.5,463,
1779469200,463,463.5,462,462.75,
1779472800,462.75,463.75,462.5,463.75,
1779753600,458.25,461.5,457,457.75,
1779757200,457.75,459,457,458.5,
1779760800,458.5,458.75,458,458.25,
1779764400,458.25,458.75,458,458.25,
1779768000,458,459.25,458,459,
1779771600,459.25,459.75,459,459.25,
1779775200,459.25,459.75,458.75,459.75,
1779778800,459.5,462.25,459,461.5,
1779782400,461.5,463,461.25,462,
1779786000,462,462.25,460.25,460.75,
1779789600,460.5,460.75,457.5,457.75,
1779793200,457.75,459.25,457.25,458.25,
1779796800,458.25,460.25,458,460,
1779800400,460,461,458.5,460.25,
1779804000,460,460.5,457,459,
1779807600,459,460,458,458,
1779811200,458,458.75,456.75,458,
1779814800,458,458.25,456.5,457.75,
1779818400,457.5,458,457.25,458,
1779840000,458.5,459.75,458.25,459.5,
1779843600,459.5,459.75,458,458.5,
1779847200,458.25,458.5,457.25,457.25,
1779850800,457.5,457.5,456.75,457,
1779854400,456.75,457,456.5,456.5,
1779858000,456.5,457,456.5,456.75,
1779861600,456.5,456.75,454.5,455.25,
1779865200,455,455.75,454.75,455.25,
1779868800,455.25,455.75,454.5,454.5,
1779872400,454.75,455.75,454.5,455,
1779876000,455,457,455,456.25,
1779879600,456.25,456.25,455.5,455.75,
1779883200,455.5,456.25,452.75,454.75,
1779886800,454.75,456,453,455.75,
1779890400,455.75,457.75,455.25,456.25,
1779894000,456.25,456.75,454.25,455.25,
1779897600,455,455.75,453.25,453.5,
1779901200,453.75,454,451.75,451.75,
1779904800,451.75,453,451.75,452,
1779926400,452.25,454,452,452.5,
1779930000,452.5,452.75,451.5,452,
1779933600,452,453,451.75,452.75,
1779937200,452.75,453.75,452.5,453.75,
1779940800,453.5,454.5,453.25,453.75,
1779944400,453.75,454.25,453.25,453.75,
1779948000,453.75,455,453.5,454.75,
1779951600,454.5,456.75,454,456.25,
1779955200,456.25,456.5,455,455.5,
1779958800,455.5,455.75,454.5,455.75,
1779962400,455.75,457.5,455.5,457,
1779966000,457,458,456.5,457.5,
1779969600,457.5,458.25,455.25,455.75,
1779973200,456,457,454.5,455.5,
1779976800,455.25,456,451.75,453.5,
1779980400,453.5,455.75,453,454.75,
1779984000,454.75,457,454.25,454.5,
1779987600,454.25,456.25,453.75,456,
1779991200,456.25,457.5,455.5,456.25,
1780012800,457.75,459,455,455,
1780016400,455.25,455.75,454.25,455,
1780020000,455,455.5,454.5,455.25,
1780023600,455.5,456,455,455.25,
1780027200,455.25,455.5,454.75,455.5,
1780030800,455.5,455.5,455.25,455.5,
1780034400,455.25,455.75,454,454.25,
1780038000,454,455.25,453.5,454.75,
1780041600,455,455.25,454,454.25,
1780045200,454,454.25,453,453.5,
1780048800,453.5,454.75,453.25,454.25,
1780052400,454.25,454.5,453,453,
1780056000,453,453.75,452.5,453,
1780059600,453,453.25,450,450.25,
1780063200,450.5,451.25,448,449.5,
1780066800,449.5,449.5,447.5,448.75,
1780070400,449,449,446.75,446.75,
1780074000,446.75,447.75,445,447.25,
1780077600,447.5,447.75,446.25,447,
1780272000,446,447.75,444.5,447.5,
1780275600,447.5,448,447.25,447.5,
1780279200,447.25,448,447.25,447.5,
1780282800,447.5,448,447.25,448,
1780286400,448,448,447.25,447.5,
1780290000,447.5,448.25,447.25,448,
1780293600,448,448.5,448,448.25,
1780297200,448,448.25,447.25,447.75,
1780300800,447.5,447.5,446.25,446.25,
1780304400,446.25,446.75,446,446,
1780308000,446,446.5,445.5,445.75,
1780311600,445.75,446.5,445.5,446.25,
1780315200,446,447.25,445.5,445.75,
1780318800,446.25,449.25,442.5,444.25,
1780322400,444.25,444.75,441.75,442.5,
1780326000,442.5,443.5,440,442.75,
1780329600,443,443.25,440.5,441,
1780333200,441.25,442.75,440.25,442.5,
1780336800,442.5,444.5,442,444.5,
1780358400,444.75,445.75,440.75,441,
1780362000,441,441.75,440.75,441.25,
1780365600,441.25,442,441,442,
1780369200,442,442.25,441.25,441.5,
1780372800,441.5,441.75,441.25,441.5,
1780376400,441.5,441.5,441,441,
1780380000,441.25,441.75,440.5,441.75,
1780383600,441.5,442.5,441.5,442.25,
1780387200,442,442.25,441.25,441.5,
1780390800,441.75,442.25,441,441.5,
1780394400,441.75,442.5,441.25,441.5,
1780398000,441.5,443,441,442.5,
1780401600,442.5,443.75,442.5,442.75,
1780405200,443,444,440,440.25,
1780408800,440.25,441.25,439,441,
1780412400,441,442.5,440.5,440.75,
1780416000,440.75,442.5,440.5,441.5,
1780419600,441.5,441.5,440.25,440.75,
1780423200,441,441.25,440,440,
1780444800,440.75,441.5,439.75,439.75,
1780448400,439.75,440.25,439.5,439.5,
1780452000,439.5,439.75,439.5,439.5,
1780455600,439.5,439.5,439.25,439.25,
1780459200,439.25,439.75,439.25,439.25,
1780462800,439.5,440,438.75,440,
1780466400,440,440.75,439.75,439.75,
1780470000,440,440,439,439,
1780473600,439,439.25,437.25,437.5,
1780477200,437.5,440.5,437.25,440,
1780480800,440.25,440.75,439.5,440.25,
1780484400,440.25,442,440,441.5,
1780488000,441.25,441.75,440.5,441,
1780491600,441,441,437.75,437.75,
1780495200,437.75,439,436.25,436.5,
1780498800,436.5,437,434.5,434.75,
1780502400,435,435,433.5,434.25,
1780506000,434.25,435.75,430.75,431.25,
1780509600,431.25,434.75,430.25,430.75,
1780531200,431,431.5,430.25,430.75,
1780534800,430.75,430.75,426.5,427,
1780538400,427,427.5,425.75,426,
1780542000,425.75,426.25,425.75,425.75,
1780545600,426,426.75,425.75,426.25,
1780549200,426.5,426.5,425.75,426.25,
1780552800,426,426.5,425.25,425.5,
1780556400,425.75,427,425.25,426,
1780560000,426.25,426.5,425.25,426.5,
1780563600,426.25,428,426,427.25,
1780567200,427.25,428,426.5,426.75,
1780570800,426.75,428.25,426,427.75,
1780574400,427.5,429.25,427.25,427.75,
1780578000,428,428.25,424.25,425.5,
1780581600,425.25,425.75,422,422.75,
1780585200,423,425,422.25,423.25,
1780588800,423.25,424.75,422.5,423.5,
1780592400,423.25,423.75,421.5,423.5,
1780596000,423.5,425,423,423.75,
1780617600,424,424.5,422.5,422.5,
1780621200,422.5,422.5,420.5,421.25,
1780624800,421.25,423.25,421,422.75,
1780628400,422.75,423,421.75,422,
1780632000,422.25,422.5,421.5,421.75,
1780635600,421.75,422.25,421.25,422,
1780639200,422,422.75,421.75,422,
1780642800,422,422.75,421.5,422.25,
1780646400,422.5,423,421.75,422.5,
1780650000,422.75,422.75,420.5,421.5,
1780653600,421.5,421.75,420.5,420.75,
1780657200,420.75,421.5,420,421.25,
1780660800,421.25,422.5,419.75,420.5,
1780664400,420.75,423.75,419.25,423.25,
1780668000,423.5,423.5,419.75,422,
1780671600,422,423,417,417.25,
1780675200,417.5,418.5,417,417.75,
1780678800,417.75,418.5,416,416.25,
1780682400,416.5,418,416.25,418,
