time,open,high,low,close,Duong_V3_22R8_Chart
1779292800,659.25,661.5,657.5,659.5,
1779296400,659.25,660,656.5,659,
1779300000,658.75,661.5,658,661,
1779321600,660.75,660.75,655,655,
1779325200,655.25,656.75,654.5,655.5,
1779328800,655.25,656,654.25,655.25,
1779332400,655,655.5,654.25,654.75,
1779336000,654.75,654.75,653.75,653.75,
1779339600,653.75,654,651.75,652.5,
1779343200,652.5,655,651.75,653.5,
1779346800,653.75,654.75,652.25,653.75,
1779350400,653.5,653.75,650.75,651.5,
1779354000,651.25,651.25,648,648.75,
1779357600,648.75,656.25,648.5,655.5,
1779361200,655.75,656.75,653.75,655.75,
1779364800,655.5,658.5,655.25,656.5,
1779368400,658.25,659.75,650.75,653,
1779372000,653.25,655.75,652.25,654.5,
1779375600,654.75,657.5,653.75,654.25,
1779379200,654.5,654.5,651.25,651.75,
1779382800,651.75,652.25,645.5,645.75,
1779386400,646,648.5,645.25,647.75,
1779408000,650,651,643.5,644.5,
1779411600,644.5,645.5,644,644.25,
1779415200,644.25,645.25,644.25,644.75,
1779418800,644.75,645.5,644.5,645,
1779422400,645,645,643,644,
1779426000,644.25,645.5,643.5,645,
1779429600,645,649,644,647.75,
1779433200,648,651,646.75,649,
1779436800,649,650.25,647.75,649,
1779440400,648.75,649.75,647.25,648.75,
1779444000,648.75,651.5,648,648.75,
1779447600,648.5,649.25,644.5,645,
1779451200,645.25,647.5,643.75,647.25,
1779454800,647,654,644.25,651.25,
1779458400,651.25,652,648.5,648.75,
1779462000,648.75,649.5,644.75,646.5,
1779465600,646.5,647.5,644.75,646.25,
1779469200,646.25,647.5,642.25,647.25,
1779472800,647.25,648.25,645.75,647,
1779753600,640,641,636.25,636.5,
1779757200,636.25,639.5,636.25,638.75,
1779760800,638.75,639.5,637.5,637.75,
1779764400,637.5,638.75,637.5,637.75,
1779768000,637.75,639.25,637.5,639.25,
1779771600,639.25,640,638.25,639,
1779775200,639,639.5,637.5,637.75,
1779778800,637.75,642.75,636.5,641.5,
1779782400,641.25,643.75,641,642.5,
1779786000,642.5,643.5,640.75,642.5,
1779789600,642.25,642.5,636,637.25,
1779793200,637.5,639.75,636.25,639.25,
1779796800,639,642.75,638.75,642.25,
1779800400,643.5,645.25,640.75,641,
1779804000,641,643,638.75,640.5,
1779807600,640.5,642.25,636.5,637.5,
1779811200,637.5,638.5,635.5,637.5,
1779814800,637.75,638.5,636.5,637.5,
1779818400,637.75,638.25,634.75,635,
1779840000,636.5,638.75,635.25,637.5,
1779843600,637.75,637.75,634.25,635.75,
1779847200,635.5,636.25,635,635.25,
1779850800,635.25,635.25,633.25,633.5,
1779854400,633.5,634,632.5,632.75,
1779858000,633,633.25,631.25,631.5,
1779861600,631.75,631.75,625.75,627.25,
1779865200,627.25,628,626.25,627.25,
1779868800,627,628,626.25,627.25,
1779872400,627.25,628.25,625.75,626.25,
1779876000,626.25,627.75,626,626.5,
1779879600,626.5,627,625,626.25,
1779883200,626.5,627,622,624.75,
1779886800,624.75,627.5,622.5,627,
1779890400,626.75,628.25,623,625.75,
1779894000,626,626.5,623.25,624,
1779897600,624.25,625.25,621.5,622.5,
1779901200,622.5,623,620.75,621,
1779904800,620.75,622.75,620.75,621.75,
1779926400,622.25,623.75,621,621.5,
1779930000,621.25,621.5,618,618.5,
1779933600,618.5,620.75,618.5,620.75,
1779937200,620.5,622.75,620.5,622.25,
1779940800,622.25,622.75,621.25,621.5,
1779944400,621.5,622.25,620,621.75,
1779948000,621.75,624,621,623.25,
1779951600,623.25,627,622.25,625.5,
1779955200,625.5,627.25,624.25,626.25,
1779958800,626,626,623.25,624,
1779962400,624.25,627,624,626.5,
1779966000,626.25,627.5,625.75,626.5,
1779969600,626.25,628,625,625.25,
1779973200,625.75,627.5,623,625,
1779976800,625,625.25,619.75,622,
1779980400,621.75,624.25,621.25,623.25,
1779984000,623.5,625.75,621,621.25,
1779987600,621,623,620,622.5,
1779991200,622.75,624.5,622.5,624,
1780012800,626.25,628,620.25,620.75,
1780016400,620.5,621.25,619.75,620.75,
1780020000,620.5,621.5,620.5,621.25,
1780023600,621,622,620.5,621.75,
1780027200,621.5,622.75,621,622.25,
1780030800,622.25,622.75,621.75,622.5,
1780034400,622.25,623.25,621.25,621.25,
1780038000,621.25,626.75,621.25,626.25,
1780041600,626.25,627.75,624.75,625.5,
1780045200,625.25,625.25,622.75,623.75,
1780048800,623.75,625.75,623,623.75,
1780052400,623.75,624.5,622.25,623,
1780056000,623,624.25,622.5,622.75,
1780059600,622.25,623,618.75,621,
1780063200,621,621,613.75,614.5,
1780066800,614.5,614.75,612.5,613,
1780070400,613,614,610.25,611,
1780074000,611,611.25,609.25,610.75,
1780077600,611,611.25,610,610.25,
1780272000,613,613.25,609.75,612.5,
1780275600,612.5,613.25,612.25,612.25,
1780279200,612.25,612.5,611.5,612,
1780282800,611.75,613.5,611.75,613.5,
1780286400,613.75,614.5,613.5,613.75,
1780290000,613.5,615,613.5,614.75,
1780293600,614.75,616.75,614.75,615.75,
1780297200,615.5,616.25,615,615.25,
1780300800,615.25,615.5,613.5,614.5,
1780304400,614.25,616.5,614.25,614.5,
1780308000,614.5,615.5,613.25,613.5,
1780311600,613.75,615,612.25,613,
1780315200,613,615,612,612.25,
1780318800,614.25,619.5,611.75,612.5,
1780322400,612.75,617.25,610.5,615.5,
1780326000,615.5,615.5,610,611.75,
1780329600,612,612.25,608,608.25,
1780333200,608.25,609.5,607.25,608.5,
1780336800,608.5,609.5,606.5,608.25,
1780358400,609.25,610.25,602.5,605,
1780362000,605,605.5,603.5,604.75,
1780365600,604.5,605.5,604.5,605.25,
1780369200,605.25,605.25,604.5,604.75,
1780372800,605,605,604,604,
1780376400,604,604,603,603.25,
1780380000,603.5,604.75,602.25,604.5,
1780383600,604.5,606,604,604.5,
1780387200,604.5,605.5,603.75,605.25,
1780390800,605.25,605.5,603.25,603.5,
1780394400,603.25,604.75,603,603,
1780398000,603,605,602.25,604.75,
1780401600,604.75,605.25,602.75,603,
1780405200,603.25,603.5,600,601.75,
1780408800,601.75,602.5,599.25,601,
1780412400,601,603,600.75,602,
1780416000,602.25,603.5,601,602.5,
1780419600,602.5,604,602,602.5,
1780423200,602.5,603.5,601.5,602.5,
1780444800,603,603,600.25,600.25,
1780448400,600.25,600.75,598.5,599.5,
1780452000,599.5,600.25,599.25,600,
1780455600,600.25,600.25,598.75,599,
1780459200,599.25,599.75,598.75,599,
1780462800,599,599.75,598.5,599.5,
1780466400,599.5,600.25,598,598.5,
1780470000,598.5,599.75,597.25,597.5,
1780473600,597.5,599.25,597,598.5,
1780477200,598.25,603,598,602.75,
1780480800,602.5,603,600.75,602,
1780484400,601.75,606.25,601,605.75,
1780488000,605.75,606.75,605,605.75,
1780491600,605.25,606.75,601,601.75,
1780495200,601.75,602,592.75,592.75,
1780498800,593,593.25,588.5,588.5,
1780502400,588.5,589.5,586.5,586.75,
1780506000,586.75,588.25,585.5,586.5,
1780509600,586.75,587.75,586,586.75,
1780531200,587,588.25,585.5,585.75,
1780534800,586,586,581.75,582.25,
1780538400,582.25,583.5,581.25,581.25,
1780542000,581.5,583.25,581.25,582.25,
1780545600,582.25,583.5,582.25,583,
1780549200,583,583.75,582.75,583.75,
1780552800,583.5,584.75,582.5,584.25,
1780556400,584.25,586.5,583.25,585.75,
1780560000,586,587.75,584,586.25,
1780563600,586.5,588.75,586,587,
1780567200,586.75,587.25,585.5,586.5,
1780570800,586.75,587.75,585,587.25,
1780574400,587,590,586.5,588.25,
1780578000,589.5,590.5,586,589.25,
1780581600,589.25,589.25,580.5,581,
1780585200,580.75,582.5,579.25,581.75,
1780588800,582,582.75,579.75,580.5,
1780592400,580.75,581.5,579.5,581.5,
1780596000,581.25,583,581,581.75,
1780617600,581.75,582.75,578.75,579.25,
1780621200,579,579.5,578.25,579.25,
1780624800,579,582,578.75,581.75,
1780628400,581.5,581.5,580.5,581,
1780632000,581,581.25,580.5,580.75,
1780635600,580.5,581.5,580.5,581.5,
1780639200,581.25,582.25,580.25,581.25,
1780642800,581.5,582.25,580,581.75,
1780646400,581.75,584.5,579.75,584.25,
1780650000,584.25,585,582.5,584.5,
1780653600,584.5,585.5,583,583.25,
1780657200,583.25,584.5,582.5,583.25,
1780660800,583.75,586.5,583.25,584.25,
1780664400,584.5,587.25,581.5,585.75,
1780668000,585.75,586,581.25,584,
1780671600,584.25,585.5,580.25,580.5,
1780675200,580.75,581,578.5,579.75,
1780678800,579.75,580.75,578,578.5,
1780682400,578.5,580.75,578.25,580.25,
