time,open,high,low,close,Duong_V3_22R8_Chart
1779447600,1199,1199.5,1198.25,1199.25,
1779451200,1199,1199.5,1196,1198.5,
1779454800,1198.5,1201.5,1196.5,1199.75,
1779458400,1199.5,1200,1196.25,1196.5,
1779462000,1196.5,1198.25,1196,1196.25,
1779465600,1196.25,1199.25,1196,1197.25,
1779469200,1197.25,1197.75,1196,1196.75,
1779472800,1196.75,1197.25,1196.25,1197.25,
1779753600,1192,1192,1185,1185.75,
1779757200,1186,1191,1185.25,1189.5,
1779760800,1189.75,1191,1189,1189,
1779764400,1189,1189.25,1188.25,1189,
1779768000,1188.75,1190.25,1188.5,1190.25,
1779771600,1190.25,1190.75,1189,1189.5,
1779775200,1189.5,1189.5,1186.5,1187.25,
1779778800,1187.25,1189.75,1186.5,1189.25,
1779782400,1189.25,1193.5,1188.5,1192.5,
1779786000,1192.25,1192.5,1190.5,1190.75,
1779789600,1190.75,1190.75,1186.25,1186.5,
1779793200,1186.75,1191,1186.25,1190.25,
1779796800,1190.5,1191.75,1189,1190.75,
1779800400,1191.5,1192.5,1188.5,1190.5,
1779804000,1190.5,1191.25,1187,1189.5,
1779807600,1189.5,1191.5,1188.5,1190.5,
1779811200,1190.25,1191.25,1186.75,1188.25,
1779814800,1188.25,1188.5,1184.5,1186,
1779818400,1186,1187,1185.5,1185.5,
1779840000,1185.5,1188,1184.25,1187.25,
1779843600,1187.25,1187.75,1185.5,1186.75,
1779847200,1186.75,1188.25,1186.5,1186.75,
1779850800,1187,1187.25,1186,1186.5,
1779854400,1186.75,1186.75,1185.75,1186,
1779858000,1186,1186.75,1185.5,1185.5,
1779861600,1185.5,1185.75,1183.75,1183.75,
1779865200,1183.75,1185.75,1183.5,1185,
1779868800,1185,1186,1184,1184.75,
1779872400,1185,1187.5,1184,1186.75,
1779876000,1186.75,1188.5,1184.5,1185,
1779879600,1185,1185.75,1184.25,1185.75,
1779883200,1185.75,1186,1179.75,1182.5,
1779886800,1182.5,1188,1180,1187,
1779890400,1187,1190.5,1186.25,1190.25,
1779894000,1190.25,1191.25,1187.5,1189.25,
1779897600,1189.25,1190,1187,1188.75,
1779901200,1189,1189.25,1185.25,1185.5,
1779904800,1185.75,1186.25,1184.75,1185.5,
1779926400,1186,1190,1185,1189.5,
