Time,Open,High,Low,Close,Volume,OpenInterest
2026-08-13 13:00,493.5,493.75,493.25,493.25,110.0,0
2026-08-13 14:00,493.5,493.75,491.75,492.25,477.0,0
2026-08-13 15:00,492.25,493.5,492.25,493.5,135.0,0
2026-08-13 16:00,493.25,495.5,493.25,494.25,304.0,0
2026-08-13 17:00,494.25,494.5,493.5,493.5,76.0,0
2026-08-13 18:00,493.75,494.5,493.5,493.75,423.0,0
2026-08-13 19:00,493.5,493.5,492.0,492.75,951.0,0
2026-08-13 20:00,492.75,494.75,491.25,491.75,5480.0,0
2026-08-13 21:00,491.5,491.75,488.0,488.5,5169.0,0
2026-08-13 22:00,488.25,490.75,488.25,489.5,2064.0,0
2026-08-13 23:00,489.5,490.0,487.75,489.25,2771.0,0
2026-08-14 00:00,489.25,489.5,487.75,487.75,1963.0,0
2026-08-14 01:00,487.75,488.5,486.5,487.75,2442.0,0
2026-08-14 07:00,487.75,489.25,487.5,489.0,336.0,0
2026-08-14 08:00,489.0,489.75,489.0,489.0,112.0,0
2026-08-14 09:00,488.75,490.5,488.75,489.75,221.0,0
2026-08-14 10:00,489.5,490.0,489.5,489.75,25.0,0
2026-08-14 11:00,489.75,491.0,489.75,491.0,39.0,0
2026-08-14 12:00,491.0,491.75,491.0,491.75,116.0,0
2026-08-14 13:00,491.5,492.75,491.0,492.75,564.0,0
2026-08-14 14:00,492.75,493.5,492.5,493.25,760.0,0
2026-08-14 15:00,493.25,494.25,493.25,493.75,182.0,0
2026-08-14 16:00,493.25,493.75,492.5,492.75,374.0,0
2026-08-14 17:00,492.25,492.5,491.75,492.0,264.0,0
2026-08-14 18:00,492.0,492.5,491.75,492.5,465.0,0
2026-08-14 19:00,492.25,493.5,492.25,493.25,640.0,0
2026-08-14 20:00,493.0,495.5,491.75,494.75,2399.0,0
2026-08-14 21:00,495.0,495.75,493.25,495.25,2489.0,0
2026-08-14 22:00,495.5,496.75,495.25,496.25,2464.0,0
2026-08-14 23:00,496.0,497.5,495.5,497.25,1970.0,0
2026-08-15 00:00,497.25,497.5,495.75,496.5,1795.0,0
2026-08-15 01:00,496.5,499.75,496.25,499.0,3525.0,0
2026-08-17 07:00,498.5,500.5,498.25,500.0,1386.0,0
2026-08-17 08:00,500.0,500.75,499.0,500.5,233.0,0
2026-08-17 09:00,500.5,501.0,500.0,500.25,31.0,0
2026-08-17 10:00,500.25,500.25,499.75,499.75,30.0,0
2026-08-17 11:00,500.5,500.5,500.5,500.5,82.0,0
